,sex,weight,height,BMI,left_leg_length,right_leg_length,crouch,stride,speed,push_timing,push_direction,actual_stride,actual_speed,maximal_detour_distance,push_force_normalized,maximal_detour_step,detour_first_step,push_start,push_mid,push_end,push_duration,push_force_not_normalized,push_force_norm_height,push_force_norm_leglength,First Rocker Time,Second Rocker Time,Third Rocker Time,First Rocker %,Second Rocker %,Third Rocker %,swing_foot_ang_heel,mocap_data_name
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,2,2,1238.5918,1344.5154,554.7065,760.4231,2,293.981,-11.2971,20.7792,45.0216,0.225,36.57635111,0.224394792,0.438040133,0.0354,0.3146,0.2271,6.0307,54.3774,39.592,17.1065,set1_no1_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,2,2,1249.5906,1392.6299,481.7544,577.8249,2,290.1412,-11.8943,14.3498,35.8744,0.1917,27.79337769,0.17051152,0.332854823,0.0313,0.3167,0.1833,5.7494,59.84,34.4106,19.4679,set1_no1_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,2,1,1,1,1160.9172,1377.7872,441.4056,697.7242,2,186.7791,0,31.068,62.1359,0.2667,33.56053402,0.205892847,0.401922563,0.0467,0.3067,0.195,8.5719,55.6486,35.7794,14.5305,set1_no2_1a.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,2,1,1,1,1245.7628,1441.297,388.5578,533.8753,3,122.4912,16.0804,44.2211,72.3618,0.2333,25.67940193,0.157542343,0.307537748,0.0306,0.2472,0.2,6.2676,51.626,42.1063,16.3573,set1_no2_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,2,2,1,1,1003.2742,1067.3944,732.9456,332.0453,4,104.3426,20.0837,43.5146,66.9456,0.2333,15.97137893,0.09798392,0.191273999,0.0583,0.44,0.1633,8.7674,66.2554,24.9772,15.4673,set1_no3_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,2,2,1,1,1013.374,997.7804,329.2969,570.7456,1,239.5019,5.0847,33.8983,62.7119,0.2833,27.45286336,0.168422475,0.328776807,0.0467,0.405,0.2,7.1937,61.9734,30.8329,13.9612,set1_no3_2a.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,2,1,1,1108.6736,983.9412,224.945,588.6354,1,140.3569,17.8439,37.1747,56.5056,0.2167,28.31336274,0.173701612,0.339082189,0.0625,0.4083,0.2625,8.5227,55.6818,35.7955,17.4069,set1_no4_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,2,1,1,1137.3648,1063.478,399.8717,633.3753,1,278.1042,4.5977,26.0536,49.0421,0.2417,30.46535193,0.186904,0.364854514,0.06,0.4683,0.2067,8.1419,63.4368,28.4213,18.2075,set1_no4_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,1,2,1219.6898,1245.9243,429.1423,409.4524,2,262.5783,-16.7347,6.6946,25.1046,0.1833,19.69466044,0.120826138,0.235864197,0.0563,0.3521,0.2208,8.9274,55.9854,35.0873,19.8135,set1_no5_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,1,2,1215.2006,1181.2933,383.9155,538.2985,2,113.1056,42.0168,63.8655,85.7143,0.2167,25.89215785,0.158847594,0.310085723,0.0417,0.3778,0.1972,6.503,61.4842,32.0128,19.8558,set1_no5_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,2,1,1199.7976,1261.2994,438.4562,620.4464,2,73.1452,-47.9675,-23.5772,11.8143,0.25,29.84347184,0.183088784,0.357406848,0.0458,0.3729,0.1979,7.2658,60.5608,32.1734,18.618,set1_no6_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,2,1,1185.7812,1214.2066,508.7937,618.923,2,97.514,-36.9295,-12.0332,15.1261,0.25,29.7701963,0.182639241,0.356529297,0.045,0.3617,0.2183,7.0123,57.5788,35.4088,18.519,set1_no6_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,1,1,1194.0406,1229.8718,433.8667,640.3889,1,342.0692,0,23.6287,48.9451,0.2417,30.80270609,0.188973657,0.368894684,0.0542,0.3729,0.1979,8.5773,59.7479,31.6748,18.5675,set1_no7_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,0,1,1,1,1,1202.038,1173.0704,357.5234,715.3365,1,242.2024,14.8148,41.1523,67.4897,0.2667,34.40768565,0.211090096,0.412068092,0.0375,0.3375,0.2167,6.1441,57.7451,36.1108,19.6284,set1_no7_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,1,1,1,1,1,1133.0242,1127.1569,309.2092,663.7259,2,223.6716,11.4286,34.2857,58.7755,0.2417,31.92521579,0.19586022,0.382337914,0.025,0.4229,0.1688,4.0301,68.6485,27.3214,11.6396,set1_no8_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,1,1,1,1,1,1132.3338,1228.049,294.284,686.8512,1,233.5683,0,26.5487,53.0973,0.25,33.03754272,0.202684311,0.395659194,0.0333,0.3542,0.1875,5.8424,61.414,32.7436,13.8055,set1_no8_2a.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,2,1,1,1,1,869.8134,800.4851,636.3056,297.1604,3,127.0048,21.374,44.2748,67.1756,0.25,14.29341524,0.087689664,0.171178626,0.0181,0.5389,0.1347,2.5653,77.6983,19.7364,7.4105,set1_no10_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,2,1,1,1,1,982.3184,888.8721,342.0458,605.5768,3,194.0261,1.5209,31.9392,63.8783,0.3417,29.12824408,0.178700884,0.348841246,0.02,0.4917,0.1583,2.9724,73.2773,23.7502,8.4064,set1_no10_2.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,3,1,1,1,1,796.5384,661.3602,683.9079,478.9814,4,68.4278,26.1168,48.11,70.1031,0.2667,23.03900534,0.141343591,0.275916232,0.0097,0.6278,0.1431,1.2548,80.3226,18.4226,6.1051,set1_no12_1.TRC
Subject01,2,48.1,163,18.10380519,83.5,85,3,1,1,1,1,784.617,715.5856,581.3872,387.4811,3,68.4838,20.7407,44.4444,68.1481,0.2667,18.63784091,0.114342582,0.223207676,0.0139,0.575,0.125,1.9772,80.421,17.6019,6.0236,set1_no12_2.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,1,1,1306.9716,1225.4398,364.3606,643.5004,1,224.6227,15.625,32.8125,51.5625,0.1917,41.69882592,0.24342572,0.490574423,0.0417,0.3139,0.2278,7.1409,53.5493,39.3098,23.1028,set2_no1_1a.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,1,1,1343.4378,1309.2907,292.3178,657.8249,1,162.6102,36.6534,52.5896,70.1195,0.175,42.62705352,0.248844446,0.501494747,0.0417,0.3139,0.2194,7.2472,54.6184,38.1344,24.3746,set2_no1_2a.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,2,1,1,1048.5812,767.0282,364.9477,682.2556,1,196.4271,34.9398,49.3976,65.0602,0.2083,44.21016288,0.258086181,0.520119563,0.0883,0.5933,0.2767,9.2268,61.9721,28.8011,18.8889,set2_no2_1.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,2,1,1,1029.5114,733.2428,325.9599,693.5559,1,175.4305,46.4286,58.3333,71.4286,0.175,44.94242232,0.262360901,0.52873438,0.0883,0.6317,0.2683,8.8926,63.7242,27.3833,18.734,set2_no2_2.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,1,2,1258.8374,1189.8455,460.0081,610.887,2,215.0937,39.3443,59.0164,80.3279,0.2083,39.5854776,0.231088602,0.465711501,0.0556,0.3361,0.2556,8.5474,52.0171,39.4355,22.6783,set2_no3_1.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,1,2,1277.5816,1200.2864,260.1923,734.926,1,188.6604,47.0588,72.549,98.0392,0.2167,47.6232048,0.278010536,0.560272998,0.0278,0.3333,0.2222,4.751,57.1576,38.0913,22.9533,set2_no3_2.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,2,2,1315.2708,1240.966,196.5732,371.4494,1,36.23,-24.898,-8.5714,6.5306,0.1667,24.06992112,0.140513258,0.283175543,0.0417,0.3292,0.2292,6.9491,54.8356,38.2154,24.0236,set2_no4_1.TRC
Subject02,1,64.8,171.3,22.08311225,85,84.5,0,1,1,2,2,1276.4818,1227.8062,421.0889,507.9633,2,47.3743,-29.6,-12,9.7561,0.1917,32.91602184,0.192154243,0.387247316,0.0333,0.3396,0.2167,5.66,57.5866,36.7535,22.8151,set2_no4_2.TRC
